ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
08317,0.738187647,0.192783915,0.064058055,0.276637360,0.175191352,0.096544395,0.075239659,0.039157086,0.011892263,0.000000000,0.007512372
08318,0.689600201,0.163211355,0.082882116,0.248501643,0.219599272,0.084428529,0.077586300,0.039478885,0.014822670,0.001488098,0.007323863
08319,0.611392584,0.166533913,0.106617482,0.248403649,0.179582580,0.074931264,0.087839679,0.019190617,0.010492388,0.000000000,0.003175502
08320,0.610224928,0.133239707,0.117777682,0.244387549,0.210043705,0.089174530,0.064077807,0.032380883,0.007731013,0.000000000,0.004251943
08321,0.546555640,0.214488636,0.066761364,0.328125000,0.065340909,0.113636364,0.086647727,0.026988636,0.007102273,0.000000000,0.004261364
08322,0.564625850,0.157676349,0.094052559,0.289073306,0.113416321,0.102351314,0.088520055,0.053941909,0.009681881,0.001383126,0.006915629
08323,0.691651919,0.159050833,0.106281375,0.241632567,0.208820924,0.082940308,0.071529213,0.034220629,0.006298249,0.000852141,0.007496309
08324,0.618146494,0.112775539,0.184908100,0.240224956,0.197957293,0.065080049,0.065737249,0.024355190,0.003579047,0.001355341,0.002605098
08325,0.644728093,0.112980737,0.146437686,0.234712291,0.214728480,0.057482701,0.075269396,0.018658011,0.019214685,0.000000000,0.001823311
08326,0.632811099,0.075929729,0.239254423,0.212667360,0.281786102,0.046717364,0.036987382,0.017735918,0.004326927,0.003031091,0.001943754
08327,0.642411642,0.120350109,0.152078775,0.257111597,0.301969365,0.028446389,0.045951860,0.021881838,0.006564551,0.002188184,0.009846827
08328,0.664636810,0.068657888,0.193739573,0.213815356,0.311958580,0.043093399,0.041836718,0.020635905,0.004772995,0.003087846,0.007018266
08329,0.583432554,0.087013647,0.177228409,0.223446624,0.330056002,0.035413602,0.041607655,0.016804142,0.006402228,0.000000000,0.000999922
08330,0.673227871,0.061601232,0.214847454,0.186241290,0.325020226,0.064946194,0.050861686,0.022490409,0.004623790,0.000000000,0.005465467
08331,0.645245269,0.126622117,0.164160025,0.190739827,0.236225227,0.081343889,0.072466323,0.015445377,0.007819663,0.000709676,0.009767967
08401,0.713242009,0.266055046,0.072083879,0.277850590,0.085190039,0.098296199,0.079947575,0.039318480,0.006553080,0.001310616,0.005242464
