"ID","uwb3","bwb","bwb3","awk","bez","bwk","wahlbeteil","cduinkbw","linkeinkbw","spdinkbw","grueninkbw","afdinkbw","fdpinkbw","parteimens","fwinkbw","mlpdinkbw","voltinkbw"
"01221","221","012K","2K","0102","01","75","0.814319171","0.149366967","0.117084849","0.214822569","0.246315889","0.050128984","0.147122677","0.014852037","0.006874511","0.000000000","0.013332237"
"01222","222","012K","2K","0102","01","75","0.745409201","0.134152611","0.179444981","0.249002277","0.198832838","0.049914701","0.090610985","0.022816782","0.009267822","0.000000000","0.008173222"
"01223","223","012L","2L","0102","01","75","0.860992502","0.126015323","0.150187235","0.240051140","0.264975621","0.053849467","0.107009629","0.013978658","0.006403997","0.000413143","0.006748375"
"01224","224","012M","2M","0102","01","75","0.782918682","0.122249074","0.228387305","0.287546319","0.138005478","0.074722088","0.055743515","0.020299662","0.006605445","0.001353311","0.003898824"
"01225","225","012M","2M","0102","01","75","0.799780004","0.130984807","0.196416682","0.286272017","0.163095454","0.069608377","0.063040978","0.016584952","0.009745173","0.002481690","0.001028993"
"01226","226","012J","2J","0102","01","75","0.712160293","0.113594066","0.232319473","0.198713177","0.170238222","0.101137935","0.068462193","0.028767415","0.012110497","0.000000000","0.010448793"
"01227","227","012N","2N","0102","01","75","0.817610783","0.104519735","0.148948863","0.185381792","0.372859397","0.035119701","0.078835431","0.015664743","0.009263737","0.000477122","0.008687405"
"01228","228","012L","2L","0102","01","75","0.850619846","0.137364114","0.119873014","0.250130327","0.263898513","0.054608179","0.108151756","0.013230566","0.011276550","0.000443998","0.004972633"
"01229","229","012N","2N","0102","01","75","0.818710143","0.109164256","0.133500694","0.188206277","0.381505205","0.022330624","0.101199359","0.006935952","0.007765573","0.000483048","0.009697763"
"01300","300","013A","3A","0103","01","75","0.682119071","0.064137777","0.158990060","0.183532577","0.343967919","0.047371602","0.083735432","0.027713349","0.006779492","0.000000000","0.008626240"
"01301","301","013A","3A","0103","01","75","0.756053511","0.080623277","0.158412223","0.201703012","0.341712771","0.038258300","0.082061131","0.021528160","0.003456712","0.001396477","0.006941008"
"01302","302","013B","3B","0103","01","75","0.695383886","0.093115793","0.142495577","0.203618227","0.310663424","0.054128594","0.078080072","0.021955413","0.000000000","0.000000000","0.013209255"
"01303","303","013B","3B","0103","01","75","0.696256878","0.083942109","0.141753932","0.232920877","0.317508442","0.041319029","0.065325717","0.014960451","0.000000000","0.000000000","0.012480456"
"01304","304","013B","3B","0103","01","75","0.778701443","0.091520707","0.133586946","0.244595320","0.314127458","0.041414595","0.087751741","0.015040640","0.004306132","0.000000000","0.014177652"
"01305","305","013C","3C","0103","01","75","0.829503534","0.141428725","0.090235385","0.237093584","0.323179126","0.040868438","0.093173797","0.021019705","0.009700691","0.000000000","0.009650986"
"01306","306","013D","3D","0103","01","75","0.835893027","0.082180832","0.101360818","0.249426339","0.413828123","0.029869708","0.061989221","0.008792334","0.009627752","0.000000000","0.009678097"
"01307","307","013C","3C","0103","01","75","0.797322225","0.155214002","0.067237664","0.264054333","0.316325772","0.041039285","0.094511793","0.018843359","0.006297016","0.000000000","0.006344703"
"01308","308","013D","3D","0103","01","75","0.833110552","0.088851081","0.096128942","0.245420115","0.400020815","0.034802872","0.078545152","0.012940330","0.003595491","0.000000000","0.005633510"
"01309","309","013E","3E","0103","01","75","0.858719069","0.112947884","0.110637865","0.214019707","0.429233991","0.025715451","0.055057972","0.010397913","0.002000070","0.000000000","0.008795408"
"01310","310","013E","3E","0103","01","75","0.797476299","0.118106541","0.111953639","0.249478084","0.369273198","0.030487897","0.062482712","0.007948817","0.002522538","0.000000000","0.006206573"
"01311","311","013F","3F","0103","01","75","0.848492416","0.093541715","0.096762874","0.225993522","0.387110130","0.040644701","0.091212666","0.014451469","0.005157824","0.000950743","0.014653525"
