"uwb","uwb3","bwb","bwb3","awk","bez","bwk","bezirk","wberins","wahlbeteil","spdinkbw","grueninkbw","cduinkbw","linkeinkbw","afdinkbw","fdpinkbw","parteimens","fwinkbw","voltdeutsc","mlpdinkbw","bswinkbwb"
"09101","101","091A","1A","0901","09","83","Treptow-K̦penick","670","0.860357256","0.117394321","0.266687021","0.060997160","0.405334592","0.064209387","0.018838528","0.005719467","0.000442236","0.007458806","0.000000000","0.039357184"
"09102","102","091B","1B","0901","09","83","Treptow-K̦penick","787","0.867829314","0.110964037","0.211891810","0.091245089","0.350770626","0.112269568","0.017328498","0.009833787","0.000000000","0.004602599","0.000000000","0.071350861"
"09103","103","091A","1A","0901","09","83","Treptow-K̦penick","991","0.856479593","0.108755795","0.243778348","0.074433982","0.398367659","0.072200649","0.020507770","0.008224437","0.001700093","0.008224437","0.000000000","0.049823404"
"09104","104","091A","1A","0901","09","83","Treptow-K̦penick","744","0.885469572","0.123700526","0.319511129","0.080372319","0.322878187","0.072835289","0.011839741","0.007210036","0.003506273","0.011774990","0.000000000","0.035192230"
"09105","105","091B","1B","0901","09","83","Treptow-K̦penick","630","0.844473540","0.119038945","0.252696976","0.063093709","0.360790781","0.100435274","0.015669882","0.006350789","0.000000000","0.007340224","0.000000000","0.054445744"
"09106","106","091C","1C","0901","09","83","Treptow-K̦penick","797","0.881367818","0.114976581","0.301015046","0.074197413","0.345392503","0.057663448","0.019600296","0.013415736","0.002110535","0.006790041","0.000000000","0.055111776"
"09107","107","091D","1D","0901","09","83","Treptow-K̦penick","754","0.831469896","0.121789066","0.281330387","0.069725735","0.340506986","0.079266452","0.026430202","0.010422328","0.003200367","0.008816106","0.000000000","0.047280896"
"09108","108","091D","1D","0901","09","83","Treptow-K̦penick","805","0.878349936","0.112368247","0.268047665","0.074673876","0.352111541","0.081849405","0.013507194","0.016361281","0.001424356","0.004971809","0.001424356","0.057619229"
"09109","109","091E","1E","0901","09","83","Treptow-K̦penick","777","0.858469096","0.126214657","0.263718885","0.082582981","0.353477828","0.052791312","0.031802766","0.010823362","0.000000000","0.010320587","0.001499182","0.050451126"
"09110","110","091C","1C","0901","09","83","Treptow-K̦penick","824","0.812560496","0.133267957","0.280600918","0.111457667","0.274589922","0.077720725","0.021501569","0.009960820","0.002292714","0.013910643","0.003005498","0.059360855"
"09111","111","091E","1E","0901","09","83","Treptow-K̦penick","642","0.808363726","0.074929073","0.255017835","0.057753658","0.454118450","0.053645214","0.018894134","0.003437437","0.000000000","0.011807362","0.001930616","0.047005780"
"09112","112","091F","1F","0901","09","83","Treptow-K̦penick","861","0.883583473","0.135045350","0.282365294","0.093761834","0.300771400","0.077369800","0.019649604","0.013104697","0.002606057","0.007847936","0.000000000","0.057009153"
"09113","113","091F","1F","0901","09","83","Treptow-K̦penick","932","0.907977071","0.120407887","0.260604509","0.095888841","0.312825404","0.105895552","0.019081942","0.009554363","0.002398635","0.009540971","0.000000000","0.056619383"
