ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
07602,0.800729735,0.165857600,0.127086831,0.303927141,0.109328117,0.152201499,0.041049264,0.013276076,0.006924709,0.003484660,0.000573341,0.053722258
07603,0.769342083,0.173576841,0.095542710,0.282064568,0.104095904,0.204282909,0.036797668,0.019162853,0.003135339,0.000000000,0.001554459,0.066815311
07604,0.706203496,0.155359524,0.075905810,0.238867623,0.151065898,0.230163295,0.038179421,0.025603958,0.002998157,0.003509727,0.000000000,0.057715801
07605,0.744087838,0.162471396,0.091533181,0.304347826,0.100686499,0.173913043,0.038901602,0.026315789,0.001144165,0.009153318,0.000000000,0.077803204
07606,0.782932891,0.210245464,0.072572038,0.297758805,0.103521878,0.178228388,0.033084312,0.030949840,0.004268943,0.004268943,0.001067236,0.049092850
07607,0.767667047,0.170776002,0.049942761,0.271681178,0.109882528,0.236273984,0.038992047,0.026500862,0.008733853,0.004416810,0.000000000,0.065232500
07608,0.705155778,0.171204714,0.052559382,0.269026070,0.101118023,0.246571969,0.030030712,0.020334939,0.003546388,0.004222717,0.000000000,0.081891222
07609,0.746397711,0.176737682,0.054588452,0.258902118,0.099574211,0.282015820,0.028680093,0.012972327,0.007591227,0.004149005,0.000000000,0.054895998
07610,0.728364979,0.194641894,0.049311668,0.292396292,0.100206551,0.225775074,0.029973240,0.025707919,0.003030087,0.002991423,0.000000000,0.061336372
07611,0.668130969,0.178334064,0.040976371,0.229447744,0.126904305,0.268248580,0.024232725,0.028968216,0.002092956,0.004957600,0.000000000,0.079754427
07612,0.842506351,0.182370821,0.132725431,0.317122594,0.084093212,0.138804458,0.056737589,0.018237082,0.005065856,0.007092199,0.001013171,0.040526849
07613,0.828480746,0.174915335,0.119712138,0.307230705,0.097977690,0.142764839,0.059690823,0.014417221,0.002083210,0.005980408,0.001067598,0.058250030
07614,0.667354397,0.165355630,0.043372012,0.216657749,0.115687981,0.298216192,0.029566866,0.026478942,0.000721403,0.004738365,0.000000000,0.082104154
07615,0.903149569,0.164661274,0.156493754,0.382396716,0.059457300,0.129694050,0.048675175,0.014236757,0.001360807,0.003454632,0.000000000,0.029729096
07616,0.815617578,0.191614839,0.132679075,0.360685146,0.072055551,0.107116203,0.054792254,0.018277778,0.002771850,0.007752964,0.002168182,0.028116762
07617,0.883855025,0.172607880,0.127579737,0.363977486,0.081613508,0.139774859,0.044090056,0.003752345,0.003752345,0.004690432,0.000000000,0.040337711
07618,0.751818263,0.172399634,0.081920986,0.262067938,0.097317509,0.224247071,0.036559929,0.024880810,0.004927469,0.005112794,0.001239135,0.074515248
07619,0.762348732,0.197624431,0.073619712,0.235207576,0.101078017,0.250316196,0.025135162,0.025610276,0.004495560,0.008797798,0.000000000,0.063537468
07620,0.828988179,0.189867952,0.111140524,0.312908954,0.080836130,0.194404038,0.036041963,0.014476924,0.002865573,0.007088116,0.000000000,0.035590925
07621,0.897050782,0.162217883,0.132981580,0.375177770,0.066109972,0.134124034,0.055452326,0.008635372,0.001641456,0.005970961,0.000000000,0.040227493
